yeat,temperature,uncertainity,state,country,lang,lat
1829/06/01,28.213,2.091,Bombay,India,18.48N,72.68E
1829/07/01,26.781999999999996,1.5730000000000002,Bombay,India,18.48N,72.68E
1829/08/01,25.99,1.44,Bombay,India,18.48N,72.68E
1829/09/01,25.815,1.499,Bombay,India,18.48N,72.68E
1829/10/01,27.356,1.877,Bombay,India,18.48N,72.68E
1829/11/01,26.721999999999998,2.62,Bombay,India,18.48N,72.68E
1829/12/01,25.348000000000003,3.829,Bombay,India,18.48N,72.68E
1830/01/01,24.314,2.579,Bombay,India,18.48N,72.68E
1830/02/01,24.374000000000002,1.935,Bombay,India,18.48N,72.68E
1830/03/01,25.148000000000003,1.619,Bombay,India,18.48N,72.68E
1830/04/01,27.374,1.656,Bombay,India,18.48N,72.68E
1830/05/01,26.787000000000006,2.116,Bombay,India,18.48N,72.68E
1830/06/01,28.046999999999997,2.387,Bombay,India,18.48N,72.68E
1830/07/01,27.410999999999998,1.783,Bombay,India,18.48N,72.68E
1830/08/01,25.838,1.773,Bombay,India,18.48N,72.68E
1830/09/01,25.764,1.897,Bombay,India,18.48N,72.68E
1830/10/01,26.828000000000003,2.613,Bombay,India,18.48N,72.68E
1830/11/01,28.259,2.172,Bombay,India,18.48N,72.68E
1830/12/01,26.399,2.12,Bombay,India,18.48N,72.68E
1831/01/01,23.862,2.219,Bombay,India,18.48N,72.68E
1831/02/01,23.982,4.012,Bombay,India,18.48N,72.68E
1831/03/01,25.704,3.169,Bombay,India,18.48N,72.68E
1831/04/01,26.638,1.317,Bombay,India,18.48N,72.68E
1831/05/01,29.041999999999998,2.553,Bombay,India,18.48N,72.68E
1831/06/01,28.664,2.175,Bombay,India,18.48N,72.68E
1831/07/01,26.354,1.507,Bombay,India,18.48N,72.68E
1831/08/01,25.367,1.459,Bombay,India,18.48N,72.68E
